standard_id,component_id,description,source
6b9ecb67-d7cc-11e8-824f-0242ac160002,7d5e2ea9-0bac-5822-8c15-f5bf1ea6309b,"Fluently subtract multi-digit whole numbers (minuend to 1,000,000) using the standard algorithm",lc_existing
6b9ecb67-d7cc-11e8-824f-0242ac160002,bd0c4c17-8426-507e-9615-64ed2eca7270,"Fluently add multi-digit whole numbers (sums to 1,000,000) using the standard algorithm",lc_existing
6b9da1fd-d7cc-11e8-824f-0242ac160002,9646cd38-fc5d-59a7-9728-df655c9afa69,Recognize and use the fact that the radius of a circle is perpendicular to the tangent where the radius intersects the circle,lc_existing
6b9da1fd-d7cc-11e8-824f-0242ac160002,acdc1dd7-24da-553a-929c-bd2ce8e09121,Recognize and use the fact that inscribed angles on a diameter are right angles,lc_existing
6b9da1fd-d7cc-11e8-824f-0242ac160002,b0669eef-f6e8-5fec-9b0d-a4104550c92e,"Recognize and use the relationships among radii, chords, tangents, and secants of a circle",lc_existing
6b9da1fd-d7cc-11e8-824f-0242ac160002,e30dbc0a-a929-5846-bc1d-9c5d3b24400d,"Recognize, describe, and use the relationships among inscribed angles in a circle, including between central, inscribed, and circumscribed angles",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,2abe1331-000f-535d-9dca-ea14efc72a5f,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, or money",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,3d94e385-0372-5d24-aa7d-0af24425f245,Solve two-step problems using any combination of the four operations in a real-world context involving distances,lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,9432b8e1-ebd3-5962-a190-080bc5687ace,"Use the four operations to solve word problems involving measurement, including simple fractions or decimals",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,a05de981-d7cc-55b5-8b8e-d0640a9f3d67,"Represent measurement quantities using diagrams, such as number lines, that feature a measurement scale",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,a16722fd-5811-5b22-9e40-ed3218acd6b3,"Use the four operations to solve word problems involving measurement, including conversion from a larger unit to a smaller unit",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,e13cdaca-ec2b-52fd-94aa-01aed2a01332,"Add, subtract, and multiply whole numbers to solve metric measurement problems involving distances, liquid volumes, and masses of objects",lc_existing
6b9d484a-d7cc-11e8-824f-0242ac160002,ef9f46a3-ac8f-5b36-96e8-fbe81b1aa280,Solve two-step problems using any combination of the four operations in a real-world context involving time intervals,lc_existing
6b9f0c6f-d7cc-11e8-824f-0242ac160002,8b702e5a-6cb6-5a06-8e68-f99b7d2cec25,Use the unit circle to explain the periodicity of trigonometric functions,lc_existing
6b9f0c6f-d7cc-11e8-824f-0242ac160002,f407bb54-f091-54bb-8928-5c7af6f88ddf,Use the unit circle to explain the symmetry of trigonometric functions,lc_existing
6ba0f981-d7cc-11e8-824f-0242ac160002,75c742eb-4313-54fa-b3a3-7d7c685e74a3,Know that multiplication of square matrices does not satisfy the commutative property,lc_existing
6ba0f981-d7cc-11e8-824f-0242ac160002,855181d6-1d1c-58c0-9375-82fa7b4f3bf2,Know that multiplication of square matrices does satisfy the distributive property,lc_existing
6ba0f981-d7cc-11e8-824f-0242ac160002,f8f5591d-10d6-5d7d-8206-79f85534e22c,Know that multiplication of square matrices does satisfy the associative property,lc_existing
6ba1ff7c-d7cc-11e8-824f-0242ac160002,78e03758-731e-5143-9aba-2b60b3f9b013,"Recognize that the numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)",lc_existing
6ba103ab-d7cc-11e8-824f-0242ac160002,e24232f5-bf99-599b-a631-d7c6f51020d2,"Identify 100 as a bundle of ten tens, called a ""hundred""",lc_existing
6ba017c6-d7cc-11e8-824f-0242ac160002,165b6006-2a0c-573c-8e7b-4253658b3c25,Recognize the correct side ratios for each trigonometric ratio,lc_existing
6ba017c6-d7cc-11e8-824f-0242ac160002,19124e02-e18e-5967-822e-c97d936f9f8c,Define trigonometric ratios for acute angles as the ratio of the sides of similar triangles,lc_existing
6ba017c6-d7cc-11e8-824f-0242ac160002,f2f4bc7b-f00f-5a76-85a7-b57e4dd7909c,"Using a corresponding angle of similar right triangles, show that the relationships of the side ratios are the same, which leads to the definition of trigonometric ratios for acute angles",lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,0b6078ae-9225-5c0b-bcd6-c0ec9eaf6ed3,Create rational equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,168bf44c-0f5d-5039-a57d-f353e4f7a865,Create linear inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,201f5a2d-e18a-522a-8b6f-3aeb93d1ea8f,Solve problems leading to a square root equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,20caf1dd-aefc-5994-802f-edc289b44d9f,Solve problems leading to a radical equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,247500f3-fd66-591c-97aa-02e85cf0c94a,Create inverse variation equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,2494e2de-3d30-5e88-a10e-087f82fa6a78,Create absolute value linear inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,25ceb601-2e45-5e73-acc8-3b2faab4765b,Solve problems leading to a radical inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,2e291362-0e37-5b14-83d5-4279cbf0ddd0,Create quadratic inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,2ffc0dff-6308-50a2-8169-2824990d2012,Create rational inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,341ea56a-5675-51d7-a2bc-bfbcb841784e,Solve problems leading to a inverse variation inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,381baa6d-e842-5f7e-a80e-4d7da491937b,Create right triangle trigonometric inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,3abd1adb-d141-5fb7-a631-b846ae574ade,Solve problems leading to a polynomial inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,44f95431-dc63-5839-8b34-f609a2911662,Create exponential equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,4a4e1096-0f2a-5fe8-abfe-feabc2558ea3,Solve problems leading to a polynomial equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,4c5acfed-6bdf-5c69-a8ea-8199c79fa370,"Create exponential equations in one variable in a contextual situation, limited to situations that do not require a constant term",lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,4ebd838a-59cf-5551-a413-213d019ae817,Solve problems leading to a right triangle trigonometric equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,572e9ce7-94d9-5853-8434-e04976e896be,Solve problems leading to an absolute value linear inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,6e118b02-6bd2-59a5-b213-94813576f59e,Solve problems leading to a right triangle trigonometric inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,6f836060-df22-54a9-8b03-987f68ccd782,Solve problems leading to a inverse variation equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,72042a25-9586-56f7-a939-d1a7e94756e6,Create exponential inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7262597f-1b87-58d4-99c3-91f159a3e22b,Create right triangle trigonometric equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7714f415-8b26-5cca-9bee-f31697eaa90a,Solve problems leading to a rational inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7a685f35-289a-59d0-b892-46be6445ad8e,Solve problems leading to an exponential inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7bb7260e-dbe9-5824-aac0-02ce0fb074e6,Solve problems leading to a rational equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7e4d374c-7a24-5d0e-bf5d-df8c371e0e99,Create polynomial inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,7fa26e65-dabd-5c32-9f02-90cbc8d315c1,Create absolute value linear equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,959c65ae-0389-56d8-805e-a21c25973b3d,Create radical equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,9a11be70-bc9a-52b2-a76a-50c1c9b21da5,Create square root equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,9f41ca74-48e5-52a0-9b3a-df07d58fc8b2,Solve problems leading to a quadratic equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,a1229cde-8ea7-5a4e-a3c2-fd00a94ba61e,Create inverse variation inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,acd78dfd-24f9-54e5-bc5e-8968c67c1dc3,Create polynomial equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,acfc0029-ee45-5894-af7c-5463945154e4,Create linear equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,aea86a4c-972e-52fe-8b0b-5f4b8e917b06,Create quadratic equations in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,bdbd4009-a84d-5a76-b360-ed82124b8858,Create radical inequalities in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,bf1f3c1c-e240-5ea9-953c-fd542b146193,Solve problems leading to a square root inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,c7704833-fde5-531f-8148-858979290236,Solve problems leading to a quadratic inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,cc64bba3-b517-5c0a-a4ab-3416bd8c4f90,Solve problems leading to an exponential equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,dcebba18-68d9-5c60-bc7e-dd92df78d516,Solve problems leading to a linear inequality in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,e1ea4b5b-25dd-560d-a6be-86974b1f8ff1,Solve problems leading to a linear equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,e5c2ed40-fb82-5cd5-a5ab-aad2a322f64f,Solve problems leading to an absolute value linear equation in one variable in a contextual situation,lc_existing
6b9c54a3-d7cc-11e8-824f-0242ac160002,e903ca04-e689-5d23-905c-2e3c038367ed,Create square root inequalities in one variable in a contextual situation,lc_existing
6b9d6fe1-d7cc-11e8-824f-0242ac160002,41261db0-5e95-5198-ae17-0e905db9ab53,Rewrite an expression in different forms in a problem context,lc_existing
6b9d6fe1-d7cc-11e8-824f-0242ac160002,75924fc9-b2ad-5273-b21d-e7b8c262153a,Interpret how quantities in an expression are related,lc_existing
6b9c1708-d7cc-11e8-824f-0242ac160002,051034c9-6867-50df-81ba-8a5dc6629e8e,"Recognize that in a multi-digit number (including decimals), a digit in one place represents 1/10 what it represents in the place to its left",lc_existing
6b9c1708-d7cc-11e8-824f-0242ac160002,ba0b5da7-336a-54af-bc1d-c4fbceb2df62,"Recognize that in a multi-digit number (including decimals), a digit in one place represents ten times what it represents in the place to its right",lc_existing
6b9f8362-d7cc-11e8-824f-0242ac160002,0edaa02c-0e8e-5b84-a494-665b641dba4b,Graph proportional relationships,lc_existing
6b9f8362-d7cc-11e8-824f-0242ac160002,c7ca6f31-ac92-53a4-aa20-6cd3ccb6b797,Interpret the slope of the graph of a proportional relationship as the unit rate,lc_existing
6b9f8362-d7cc-11e8-824f-0242ac160002,fbbff3cd-ef58-5383-ab5a-94c445fcd933,Compare two proportional relationships represented in different ways,lc_existing
6b9c859b-d7cc-11e8-824f-0242ac160002,e2c041dc-be4f-55ae-b02c-ac6e09b82173,Extend properties of exponents to justify the interpretation of fractional exponents,lc_existing
6b9c859b-d7cc-11e8-824f-0242ac160002,e3333e44-9d4e-54a9-a427-00f3523532f9,Recognize that the denominator of the rational exponent is the root index and the numerator is the exponent of the radicand,lc_existing
6b9c342f-d7cc-11e8-824f-0242ac160002,48cb8621-0c51-560b-a565-ddd9f6e5f5fc,Reproduce a scale drawing at a different scale (using proportional reasoning),lc_existing
6b9c342f-d7cc-11e8-824f-0242ac160002,9ffdee4b-84bd-56cd-b894-fbec5c1df544,Compute actual lengths from a scale drawing (using proportional reasoning),lc_existing
6b9c342f-d7cc-11e8-824f-0242ac160002,f75552e4-5ff9-5df8-a686-b30b0b1f19f7,Compute actual areas from a scale drawing (using proportional reasoning),lc_existing
6b9f0737-d7cc-11e8-824f-0242ac160002,4a3655e0-0275-5949-a449-f9b8088763bf,Interpret key features of graphs and tables that represent a function that models a real world relationship between two quantities,lc_existing
6b9f0737-d7cc-11e8-824f-0242ac160002,4d3237bd-56eb-5b2c-9e0f-47a73d0e57b4,"Given the key features of a function, sketch the graph",lc_existing
6b9f0737-d7cc-11e8-824f-0242ac160002,52473267-d034-5618-be1d-904cf3c06fd2,"Given the key features of a quadratic function, sketch the graph",lc_existing
6b9f0737-d7cc-11e8-824f-0242ac160002,a904613a-b364-5f0b-ae0e-71ab92e51a41,"Given the key features of a linear function, sketch the graph",lc_existing
6b9f0737-d7cc-11e8-824f-0242ac160002,cb330a1c-ce97-5881-a22f-6afdf45c205d,"Given the key features of a exponential function, sketch the graph",lc_existing
6ba03dbb-d7cc-11e8-824f-0242ac160002,54e86591-b40f-5d88-96fd-74fd2880ba83,"Tell time from a digital clock, using a.m. and p.m. when appropriate",lc_existing
6ba03dbb-d7cc-11e8-824f-0242ac160002,9af7bd3c-21c3-5f1f-8e5d-0315073e3484,"Tell time from an analog clock, using a.m. and p.m. when appropriate",lc_existing
6ba03dbb-d7cc-11e8-824f-0242ac160002,cf3900ab-a5e5-5e0d-a3a9-f1e9a8680981,"Write time on an analog clock, using a.m. and p.m. when appropriate, given a description of the time",lc_existing
6ba03dbb-d7cc-11e8-824f-0242ac160002,f25112a6-9606-5267-8aa5-08cc8949b6f5,"Express time shown, using a.m. and p.m. when appropriate, on a digital clock using an analog clock, and vice versa",lc_existing
6ba03dbb-d7cc-11e8-824f-0242ac160002,fca56ad3-1cb6-5e33-b69a-ac15d756deca,"Write time on a digital clock, using a.m. and p.m. when appropriate, given a description of the time",lc_existing
6b9c1d5d-d7cc-11e8-824f-0242ac160002,79506838-311e-5599-a93e-a9d03c0d80ab,"Evaluate expressions involving nested parentheses, brackets, and/or braces",lc_existing
6b9c1d5d-d7cc-11e8-824f-0242ac160002,9355ee95-a7a5-5a41-89e1-8ffaef80af0b,"Evaluate expressions involving parentheses, brackets, or braces that are not nested",lc_existing
6ba02461-d7cc-11e8-824f-0242ac160002,755f16f4-088e-5f11-bd81-06674000ca1e,"Read, and explain in context, data from outside reports",lc_existing
6ba2703e-d7cc-11e8-824f-0242ac160002,0bd082cc-be74-564c-9cf4-941f5d959507,Identify instances in which the decimal form of a rational number ends in 0 or eventually repeats,lc_existing
6ba2703e-d7cc-11e8-824f-0242ac160002,2ab6ac49-716f-507d-bce0-a9696013c6b2,Convert a rational number to a decimal using long division to solve mathematical problems,lc_existing
6ba2703e-d7cc-11e8-824f-0242ac160002,ffd9dc15-b8f1-527e-a374-a6c04d8f6bd7,Convert a rational number to a decimal using long division to solve real world problems,lc_existing
6b9ff310-d7cc-11e8-824f-0242ac160002,12b69651-752f-5e48-b838-0c669df35b64,"Use variables to represent an unknown number or any number in a specified set, depending on the context",lc_existing
6b9ff310-d7cc-11e8-824f-0242ac160002,306ce9f4-0018-504d-bf10-70d68c8563ec,Create a real-world situation to represent an expression using variables to represent numbers,lc_existing
6b9ff310-d7cc-11e8-824f-0242ac160002,60a51673-b0e6-57d6-840c-64a3c5b61cc0,Solve a real-world problem by writing an expression with variables to represent the situation,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,10c58598-1ea8-523a-b29b-b997668dbe27,Add within 10,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,50ac7ad4-c4f0-564c-9bf6-53542b1a5a9a,Use objects or drawings to represent subtraction word problems,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,56754811-3d83-5040-9e36-fdda3d57d4a1,Solve subtraction word problems,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,5c48ad41-0fdb-53b7-9222-dcf3262b9912,Subtract within 10,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,eb90163e-9db9-5375-bad3-4287deb4a71b,Use objects or drawings to represent addition word problems,lc_existing
6b9dd100-d7cc-11e8-824f-0242ac160002,f22b9881-4f43-544c-be55-de8e3edc5f85,Solve addition word problems,lc_existing
6b9d59e4-d7cc-11e8-824f-0242ac160002,14c9562d-c985-5d98-8fe5-a8551e0a20ff,Use whole-number exponents to denote powers of 10,lc_existing
6b9d59e4-d7cc-11e8-824f-0242ac160002,39c782cc-8c89-5974-98b8-a3158125e227,Explain patterns in the placement of the decimal point when dividing a decimal by a power of 10,lc_existing
6b9d59e4-d7cc-11e8-824f-0242ac160002,53dba7fb-c548-5f5b-88cd-e657ec2114d7,Explain patterns in the placement of the decimal point when multiplying a decimal by a power of 10,lc_existing
6b9d59e4-d7cc-11e8-824f-0242ac160002,a275a470-8fa8-5bbe-bc69-d7d90b8b1137,Explain patterns in the number of zeros of a product when multiplying a whole number by a power of 10,lc_existing
6b9d59e4-d7cc-11e8-824f-0242ac160002,c4a38f79-95a9-5e1b-a031-b214f46d8307,Explain patterns in the placement of the decimal point when dividing by a power of 10,lc_existing
6ba1e7bb-d7cc-11e8-824f-0242ac160002,646e93bc-23b5-57bc-9e03-b7ae4f4ef83c,Describe situations where one quantity changes at a constant rate per unit interval as compared to another,lc_existing
6ba18ab1-d7cc-11e8-824f-0242ac160002,471f63ab-db68-5f3d-ba18-8add02ec2b2a,Determine the size of an angle based on its number of n one-degree angles,lc_existing
6b9d86d6-d7cc-11e8-824f-0242ac160002,bac2efb6-afa7-518d-be33-714f3a956905,Estimate the value of irrational numbers to a given degree of precision,lc_existing
6b9d86d6-d7cc-11e8-824f-0242ac160002,e96d5914-1b25-5d07-80e5-ce0d9fdf863f,Generate rational approximations of irrational numbers and locate them on a number line,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,1944c542-6fe1-5883-beee-d6fe87cc5e7f,Determine the rate of change of a function from a mathematical context presented with a verbal description,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,411f2a23-973d-5338-9a16-93f6c252b221,Determine the initial value of a function from a mathematical context presented with a verbal description,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,443d082c-df90-5586-8d15-fc375f4a8b4f,Determine the initial value of a function from a real-world context presented in a table or graph,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,5f3a9252-5252-54ed-9c00-f4c910b3b9a4,Determine the initial value of a function from a mathematical context presented in a table or graph,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,6c340f89-4534-5ed4-acee-bb1e959071d4,Interpret the initial value of a linear function in the context of the situation it models,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,b2a9431b-e28d-5c7c-8a46-e0012eef91b8,Interpret the rate of change of a linear function in the context of the situation it models,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,c6f0747b-6ee8-5e35-95d9-d25d8f5debc6,Determine the rate of change of a function from a real-world context presented in a table or graph,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,c8e759d8-4ed5-597d-a8ae-6a20147a354d,Determine the initial value of a function from a real-world context presented with a verbal description,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,dab9e9b0-faa3-5080-9f2e-ac82c0ba0346,Model a linear relationship between two quantities with a function,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,dd4d95c3-4e5b-511f-b490-f0bf52638e99,Determine the rate of change of a function from a real-world context presented with a verbal description,lc_existing
6b9ef36a-d7cc-11e8-824f-0242ac160002,e1ce9802-e05b-541d-ae86-641087a49faf,Determine the rate of change of a function from a mathematical context presented in a table or graph,lc_existing
6ba1f961-d7cc-11e8-824f-0242ac160002,1d180a4e-19ec-5ad6-9d2a-067e7bff23c2,Use expected values to evaluate strategies for decisions involving probabilities,lc_existing
6ba1f961-d7cc-11e8-824f-0242ac160002,2474815e-4b0c-598c-88a4-cbf10ba11108,Use expected values to compare strategies for decisions involving probabilities,lc_existing
6b9d91e7-d7cc-11e8-824f-0242ac160002,4f1cf322-82e0-543b-9d80-c2fa79085fd8,Solve simple radical equations in one variable,lc_existing
